estrategia,target,tp,fp,fn,alertas,precision,recall,f1
XGBoost,original,8,44,57,52,0.15384615384615385,0.12307692307692308,0.13675213675213677
XGBoost,intraestatal,3,32,39,35,0.08571428571428572,0.07142857142857142,0.07792207792207792
Baseline persistencia,original,11,210,54,221,0.049773755656108594,0.16923076923076924,0.07692307692307693
Baseline persistencia,intraestatal,23,250,19,273,0.08424908424908426,0.5476190476190477,0.146031746031746
