feature,mean_shap,mean_abs_shap
z_acled_admin1_count_lag12,-0.0034895663,0.0034895663
z_acled_strategic_developments_events_delta6m,0.0023301828,0.0034676613
z_vdem_deliberative_democracy_index_lag1,-0.0032854895,0.0032854895
z_sipri_milex_per_capita_constant_2023_usd_roll12m,0.003270807,0.003270807
z_acled_riots_events_roll12m,-0.0031916264,0.0031916264
z_acled_population_exposure_sum_roll3m,0.0030861327,0.0030861327
z_sipri_milex_constant_2023_usd_millions_lag6,-0.0030534645,0.0030534645
z_acled_population_exposure_sum_roll12m,0.002932368,0.002932368
z_wdi_gdp_per_capita_current_usd_delta12m,-0.002930169,0.002930169
z_wdi_government_expense_pct_gdp_lag6,0.0029048417,0.0029048417
z_wdi_gdp_per_capita_growth_annual_pct,-0.0027890773,0.0027890773
z_wdi_gdp_per_capita_growth_annual_pct_lag3,-0.0027660187,0.0027660187
z_log_sipri_milex_constant_2023_usd_millions_lag1,0.0027553001,0.0027553001
z_wdi_military_expenditure_pct_of_gdp_delta12m,-0.002695163,0.002695163
z_wdi_fuel_imports_pct_merchandise_imports_lag6,0.0026590794,0.0026590794
z_acled_demonstrations_events_lag1,0.0026424692,0.0026424692
z_vdem_deliberative_democracy_index_lag6,0.0026277916,0.0026277916
z_sipri_milex_constant_2023_usd_millions_lag12,-0.0025512343,0.0025512343
z_wdi_employment_to_population_ratio_15plus_total_pct_roll3m,0.0024626022,0.0024626022
z_sipri_milex_per_capita_constant_2023_usd_delta12m,0.0024182408,0.0024182408
z_wdi_fuel_imports_pct_merchandise_imports_delta12m,0.0024064307,0.0024064307
z_wdi_government_expense_pct_gdp_delta12m,-0.0023269283,0.0023269283
z_acled_riots_events_delta6m,0.002168552,0.002168552
z_acled_riots_events_roll6m,-0.002167399,0.002167399
z_log_wdi_gdp_per_capita_current_usd_lag3,0.0010817874,0.0021546083
z_vdem_electoral_democracy_index_delta12m,0.0018365543,0.0019940508
z_acled_total_events_delta3m,-0.001441543,0.0019604133
z_log_wdi_fuel_exports_pct_merchandise_exports_lag12,-0.0018658096,0.0018658096
z_wdi_gdp_per_capita_growth_annual_pct_roll3m,0.001850201,0.001850201
z_acled_demonstrations_events_roll6m,-0.0018152943,0.0018152943
z_acled_population_exposure_sum_lag3,0.0017893751,0.0017893751
z_wdi_government_expense_pct_gdp_lag3,0.001766497,0.001766497
