tp,fp,fn,tn,precision,recall,f1,alerts,year,positives
3,27,12,1659,0.1,0.2,0.13333333333333333,30,2019,15
0,29,15,1635,0.0,0.0,0.0,29,2020,15
5,74,6,1618,0.06329113924050633,0.45454545454545453,0.11111111111111112,79,2021,11
0,19,16,1649,0.0,0.0,0.0,19,2022,16
3,61,5,1633,0.046875,0.375,0.08333333333333333,64,2023,8
0,18,5,1241,0.0,0.0,0.0,18,2024,5
